Country,Year,Depression (%),Tertiary (total) (%),non-tertiary (total) (%),15-49 years old (%),50-69 years old (%),Prevalence in males (%),Prevalence in females (%),Population_x,"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)",Population_y,Prevalence All people suffered
Austria,2014,3.26745995576,5.5,6.7,4.11362267699999,4.50003436006,2.21893790831,4.26600805467999,8615000.0,11.8414270228025,3000.14635394,8615000.0,315328.290351
Belgium,2014,4.11047190159,4.2,7.5,5.26857416357999,5.40628109115,3.02761763546,5.14142167534999,11221000.0,15.0707842429383,3741.7717298,11221000.0,490045.050673
Czech Republic,2014,2.69052625351,2.0,4.4,3.06560647542,4.57955184913,2.28699568507,3.04487920945,10591000.0,11.4669552490758,2526.61308218,10591000.0,344038.935972
Denmark,2014,3.27797282721,6.7,8.8,4.09103170262,4.60054028131,2.48704040106,4.0454904262,5664000.0,8.66631012365282,3021.89788533,5664000.0,202228.968687
Estonia,2014,3.90209929677,4.3,5.2,4.06902373605,6.98261209802,2.97851532112,4.63998095077,1316000.0,13.9317758739257,3609.76083019,1316000.0,63669.3760771
Finland,2014,4.88897144761,8.9,13.2,6.35269883989,6.15304871314,3.6320970931,6.12628822505,5461000.0,13.3563313571864,4495.36176861,5461000.0,283937.987666
France,2014,4.31675288472,4.9,5.7,5.38202172629,5.78903371334,3.07720764381,5.46724641434,64194000.0,13.1907586364047,3892.49898124,64194000.0,2953670.63285
Germany,2014,3.94011870269,8.9,12.5,4.88385647473,5.14637593407,2.88816414439,4.93590096245,81450000.0,9.41554857174138,3536.50604422,81450000.0,3566465.42387
Greece,2014,4.25270368371,2.4,3.4,5.29806544785,5.64494551593,2.9737920872,5.48441034261,10701000.0,3.6157358229254,3916.28275237,10701000.0,501125.79156
Hungary,2014,2.75365560445,2.8,4.2,3.02671010234,5.04058476635999,2.2388747602,3.17349468988,9805000.0,15.4463398809427,2595.17970944,9805000.0,340217.288065
Iceland,2014,3.36104572967,9.5,15.7,4.17063409035,4.60711803859999,2.40853567441,4.2955981315,329000.0,9.90193778637227,3107.57699566,329000.0,11362.1521063
Ireland,2014,4.30137376434,9.0,11.6,5.52200399611,5.52574035648,3.29681304197999,5.24737638206,4627000.0,9.36976799951327,3934.92485009,4627000.0,207208.346575
Italy,2014,3.45654338705,1.9,3.3,4.29831173806,4.63562786781999,2.48872986552,4.37311764738,60410000.0,5.19665399732185,3192.08613545,60410000.0,2400173.97204
Latvia,2014,3.49335784803999,7.3,8.7,3.78082173544,6.21978647584999,2.88953036081,3.95575047575999,2021000.0,17.6247526733372,3261.62729672999,2021000.0,88574.9563384
Lithuania,2014,4.16882600407,1.4,4.7,4.60847746487,7.32760681847,3.42001545835,4.74198364007,2971000.0,30.4101886960612,3914.64472598,2971000.0,153390.72408
Luxembourg,2014,3.6163972343,6.1,12.3,4.53490691698,4.93690704366,2.63538094849,4.58359277397,555000.0,8.90084879400527,3327.15834365,555000.0,21618.9585965
Netherlands,2014,4.03166930313,4.5,9.1,5.09326808743999,5.28841821631,2.86988015384,5.14682220117,16893000.0,9.08408507283224,3676.35671772999,16893000.0,726513.033863
Norway,2014,3.64671080663,4.2,8.1,4.67133966282,4.79373272401,2.88164175567,4.41463137966,5142000.0,9.65440833381855,3353.9580885,5142000.0,196533.442587
Poland,2014,2.26837170326,2.9,4.2,2.61277565965,3.81700407105,2.07537337672,2.41873953206,38091000.0,14.5470714719332,2131.60799257,38091000.0,1033086.54321
Portugal,2014,4.62282669234,6.7,8.3,5.67404649769,6.44470717925999,3.2344412005,5.88233484541,10418000.0,8.52701894301477,4248.18917768,10418000.0,565318.282462
Slovenia,2014,2.89100756096,6.6,7.7,3.1983878657,5.00093073426,2.33245464758,3.40711322604,2067000.0,13.9747579572328,2701.97661115,2067000.0,73817.7704212
Spain,2014,3.49154970284999,3.5,7.1,4.31685342317,4.79116357347999,2.38399360083,4.55746110177999,46778000.0,5.80123555370514,3186.88983745,46778000.0,1820631.15389
Sweden,2014,4.5241328879,9.0,10.6,5.85202731934,5.93614343624,3.15464668036,5.87403150572,9692000.0,11.6591571111732,4170.43208715,9692000.0,472079.755939
Turkey,2014,3.73420011378,9.5,12.5,4.6154128756,5.47878383093,2.80387250182,4.62408899478,77229000.0,3.34825586063033,3513.84996747999,77229000.0,2909369.48266
United Kingdom,2014,4.12531635937,7.1,10.7,5.28462086715,5.38635153252,3.284954449,4.92812736871,65423000.0,7.14794468829921,3775.30354021,65423000.0,2853091.9519
